execution_order,batch,barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
1,1,144803,3,LEILA IN OAT,SMALL,185402,gid://shopify/Product/10464278642993,gid://shopify/ProductVariant/52095530664241,active,gid://shopify/InventoryItem/54186002317617,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
2,1,144803,3,LIORA IN CAVIAR,LARGE,144803,gid://shopify/Product/10464847102257,gid://shopify/ProductVariant/52100475945265,active,gid://shopify/InventoryItem/54191284289841,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
3,1,144803,3,LIORA,CAVIAR / LARGE,144803,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51702627270961,active,gid://shopify/InventoryItem/53771235754289,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
4,1,110902,3,CLEE INDUSTRIES SWEATSHORTS (MAROON),MEDIUM,110903,gid://shopify/Product/10512070345009,gid://shopify/ProductVariant/52311843668273,active,gid://shopify/InventoryItem/54406272713009,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
5,1,110902,3,CLEE INDUSTRIES SWEATSHORTS (MAROON),SMALL,110902,gid://shopify/Product/10512070345009,gid://shopify/ProductVariant/52311843635505,active,gid://shopify/InventoryItem/54406272680241,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
6,1,110902,3,CUTOFF HOODIE IN WOOD,SMALL,110902,gid://shopify/Product/10456313069873,gid://shopify/ProductVariant/52053236482353,archived,gid://shopify/InventoryItem/54143835668785,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
7,1,109902,2,4 POCKET CUBAN SHIRT IN CELADON,3X - LARGE,109902,gid://shopify/Product/10453094400305,gid://shopify/ProductVariant/52860479570225,active,gid://shopify/InventoryItem/54960831201585,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
8,1,109902,2,4 POCKET CUBAN SHIRT IN CELADON,SMALL,109902,gid://shopify/Product/10453094400305,gid://shopify/ProductVariant/52042262872369,active,gid://shopify/InventoryItem/54132738064689,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
9,1,110802,2,4 POCKET CUBAN SHIRT IN NIMBUS,3X - LARGE,110807,gid://shopify/Product/10453094760753,gid://shopify/ProductVariant/52860686926129,active,gid://shopify/InventoryItem/54961039507761,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
10,1,110802,2,4 POCKET CUBAN SHIRT IN NIMBUS,SMALL,110802,gid://shopify/Product/10453094760753,gid://shopify/ProductVariant/52042265067825,active,gid://shopify/InventoryItem/54132740260145,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
11,1,140002,2,4 POCKET CUBAN SHIRT IN STONE GREY,3X - LARGE,140002,gid://shopify/Product/10454734078257,gid://shopify/ProductVariant/52860619850033,active,gid://shopify/InventoryItem/54960972431665,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
12,1,140002,2,4 POCKET CUBAN SHIRT IN STONE GREY,SMALL,140002,gid://shopify/Product/10454734078257,gid://shopify/ProductVariant/52046941520177,active,gid://shopify/InventoryItem/54137446990129,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
13,1,144402,2,LIORA IN ANTHRACITE,SMALL,144402,gid://shopify/Product/10475464130865,gid://shopify/ProductVariant/52149866955057,active,gid://shopify/InventoryItem/54241072611633,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
14,1,144402,2,LIORA,ANTHRACITE / SMALL,144402,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51650350383409,active,gid://shopify/InventoryItem/53718378676529,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
15,1,144403,2,LIORA IN ANTHRACITE,LARGE,144403,gid://shopify/Product/10475464130865,gid://shopify/ProductVariant/52149866987825,active,gid://shopify/InventoryItem/54241072644401,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
16,1,144403,2,LIORA,ANTHRACITE / LARGE,144403,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51650350448945,active,gid://shopify/InventoryItem/53718378742065,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
17,1,144802,2,LIORA IN CAVIAR,SMALL,144802,gid://shopify/Product/10464847102257,gid://shopify/ProductVariant/52100475912497,active,gid://shopify/InventoryItem/54191284257073,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
18,1,144802,2,LIORA,CAVIAR / SMALL,144802,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51702627238193,active,gid://shopify/InventoryItem/53771235721521,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
19,1,144902,2,LIORA IN CHARCOAL GREY,SMALL,144902,gid://shopify/Product/10475489853745,gid://shopify/ProductVariant/52149972992305,active,gid://shopify/InventoryItem/54241178386737,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
20,1,144902,2,LIORA,CHARCOAL GREY / SMALL,144902,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51835326693681,active,gid://shopify/InventoryItem/53907114000689,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
21,1,144903,2,LIORA IN CHARCOAL GREY,LARGE,144903,gid://shopify/Product/10475489853745,gid://shopify/ProductVariant/52149973025073,active,gid://shopify/InventoryItem/54241178419505,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
22,1,144903,2,LIORA,CHARCOAL GREY / LARGE,144903,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51835326726449,active,gid://shopify/InventoryItem/53907114033457,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
23,1,145002,2,LIORA IN WOOD,SMALL,145002,gid://shopify/Product/10475468521777,gid://shopify/ProductVariant/52149891727665,active,gid://shopify/InventoryItem/54241097089329,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
24,1,145002,2,LIORA,WOOD / SMALL,145002,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51650367586609,active,gid://shopify/InventoryItem/53718395945265,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
25,1,145003,2,LIORA IN WOOD,LARGE,145003,gid://shopify/Product/10475468521777,gid://shopify/ProductVariant/52149891760433,active,gid://shopify/InventoryItem/54241097122097,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
26,1,145003,2,LIORA,WOOD / LARGE,145003,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51650367619377,active,gid://shopify/InventoryItem/53718395978033,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
27,1,176202,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",SMALL,176202,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495704369,active,gid://shopify/InventoryItem/54191304245553,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
28,1,176202,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / SMALL,176202,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681857329,active,gid://shopify/InventoryItem/53904441671985,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
29,1,176203,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",MEDIUM,176203,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495737137,active,gid://shopify/InventoryItem/54191304278321,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
30,1,176203,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / MEDIUM,176203,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681890097,active,gid://shopify/InventoryItem/53904441704753,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
31,1,176204,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",LARGE,176204,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495769905,active,gid://shopify/InventoryItem/54191304311089,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
32,1,176204,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / LARGE,176204,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681922865,active,gid://shopify/InventoryItem/53904441737521,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
33,1,176205,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",EXTRA - LARGE,176205,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495802673,active,gid://shopify/InventoryItem/54191304343857,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
34,1,176205,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / EXTRA - LARGE,176205,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681955633,active,gid://shopify/InventoryItem/53904441770289,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
35,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",2X - LARGE,176206,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495835441,active,gid://shopify/InventoryItem/54191304376625,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
36,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 2X - LARGE,176206,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681988401,active,gid://shopify/InventoryItem/53904441803057,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
37,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",3X - LARGE,176207,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495868209,active,gid://shopify/InventoryItem/54191304409393,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
38,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 3X - LARGE,176207,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832682021169,active,gid://shopify/InventoryItem/53904441835825,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
39,1,178802,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-SMALL,178802,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743566641,active,gid://shopify/InventoryItem/54125142802737,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
40,1,178802,2,MOCK NECK TEE IN OLIVE,EXTRA - SMALL,178802,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568422193,active,gid://shopify/InventoryItem/50004182335793,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
41,1,178803,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",SMALL,178803,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743599409,active,gid://shopify/InventoryItem/54125142835505,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
42,1,178803,2,MOCK NECK TEE IN OLIVE,SMALL,178803,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568454961,active,gid://shopify/InventoryItem/50004182368561,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
43,1,178804,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",MEDIUM,178804,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743632177,active,gid://shopify/InventoryItem/54125142868273,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
44,1,178804,2,MOCK NECK TEE IN OLIVE,MEDIUM,178804,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568487729,active,gid://shopify/InventoryItem/50004182401329,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
45,1,178805,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",LARGE,178805,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743664945,active,gid://shopify/InventoryItem/54125142901041,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
46,1,178805,2,MOCK NECK TEE IN OLIVE,LARGE,178805,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568520497,active,gid://shopify/InventoryItem/50004182434097,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
47,1,178806,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-LARGE,178806,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743697713,active,gid://shopify/InventoryItem/54125142933809,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
48,1,178806,2,MOCK NECK TEE IN OLIVE,EXTRA - LARGE,178806,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568553265,active,gid://shopify/InventoryItem/50004182466865,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
49,1,178807,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",2X-LARGE,178807,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743730481,active,gid://shopify/InventoryItem/54125142966577,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
50,1,178807,2,MOCK NECK TEE IN OLIVE,2X - LARGE,178807,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568586033,active,gid://shopify/InventoryItem/50004182499633,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
